session_id,label,latency_ms,mechanical_pass,qualifying_signals,completed_trades,completed_long_trades,completed_short_trades,ignored_while_position_open,skipped_no_entry_quote,incomplete_no_exit_quote,mean_gross_return_bps,median_gross_return_bps,positive_trade_rate,cumulative_gross_return_bps,maximum_drawdown_bps,break_even_cost_per_side_bps,long_mean_gross_return_bps,short_mean_gross_return_bps,mean_entry_quote_wait_ms,p95_entry_quote_wait_ms,mean_exit_quote_wait_ms,p95_exit_quote_wait_ms
20260824_135129,afternoon_1,0.0,True,278,180,99,81,97,1,0,0.2697713852536859,0.01275242096587803,0.5055555555555555,48.558849345663454,-11.226151775828308,0.13488569262684294,0.37187781149717,0.14497464206720534,15.898255555555554,83.26624999999996,22.780100000000004,83.42919999999985
20260825_084855,morning_1,0.0,True,190,112,57,55,78,0,0,0.15177356890098967,-0.0012514123770568375,0.24107142857142858,16.998639716910844,-0.8044898289583102,0.07588678445049483,0.12200454536048398,0.1826251023884229,79.28881250000002,359.9650999999998,63.76994642857143,251.29594999999998
20260826_085550,morning_2,0.0,True,260,154,78,76,105,1,0,0.21154238003198822,-0.0012687663231147894,0.35714285714285715,32.577526524926185,-2.8651138281221566,0.10577119001599411,0.21312418984409673,0.20991894364587682,70.75634415584415,268.23354999999975,60.20849350649351,229.96259999999992
20260826_144545,evening_1,0.0,True,226,150,66,84,76,0,0,0.13885959660695502,-0.001282768891663899,0.35333333333333333,20.82893949104325,-12.009317737342595,0.06942979830347751,-0.00855190422465617,0.2546829186889353,39.56559333333333,140.24299999999937,31.98763333333333,125.29979999999978
20260826_151328,late_afternoon_1,0.0,True,246,153,71,82,93,0,0,0.2637058741338768,-0.0012842905572352237,0.3790849673202614,40.34699874248315,-1.515499935565991,0.1318529370669384,0.29953414160075176,0.2326838376686558,31.441686274509802,139.69100000000006,40.5911568627451,155.56780000000006
20260824_135129,afternoon_1,50.0,True,278,180,99,81,97,1,0,0.25915183246184703,-0.0006350003828314854,0.49444444444444446,46.64732984313247,-11.226151775828308,0.12957591623092352,0.3585522730992163,0.13766240501617352,20.01775,92.10369999999999,23.0791,100.90984999999992
20260825_084855,morning_1,50.0,True,190,112,57,55,78,0,0,0.13759824732168563,-0.0012514590441714546,0.23214285714285715,15.411003700028791,-0.8044898289583102,0.06879912366084281,0.11761816256572076,0.15830488061423106,69.93341964285715,324.8706999999999,65.3014375,252.57169999999994
20260826_085550,morning_2,50.0,True,260,154,78,76,105,1,0,0.18570927218847016,-0.001268787652164427,0.33116883116883117,28.599227917024404,-2.8651138281221566,0.09285463609423508,0.21074874486689454,0.16001086601850828,62.90159740259739,262.48775,57.33413636363637,230.21414999999993
20260826_144545,evening_1,50.0,True,226,150,66,84,76,0,0,0.13243154940574262,-0.0012827761330935772,0.3466666666666667,19.864732410861393,-13.783323129886728,0.06621577470287131,-0.047090179947858433,0.2734843367550007,46.70672666666667,235.64274999999992,33.39510666666666,129.2456999999999
20260826_151328,late_afternoon_1,50.0,True,246,153,71,82,93,0,0,0.25336369823904964,-0.001284317443506211,0.35294117647058826,38.764645830574594,-1.515499935565991,0.12668184911952482,0.32458745551728013,0.19169434742497196,36.98575163398693,167.54080000000008,44.204620915032685,146.8394000000002
20260824_135129,afternoon_1,100.0,True,278,180,99,81,97,1,0,0.2222390888909076,-0.001270324397895095,0.49444444444444446,40.003036000363366,-11.611542544560649,0.1111195444454538,0.32923651120559344,0.09146446161740268,16.76677777777778,66.41399999999999,21.76455,94.87339999999995
20260825_084855,morning_1,100.0,True,190,112,57,55,78,0,0,0.13866322417761415,-0.0012514123770568375,0.24107142857142858,15.530281107892785,-1.2044676356570694,0.06933161208880707,0.12065026104472085,0.15733120415170357,75.52592857142857,285.57424999999984,69.47875892857142,236.53664999999987
20260826_085550,morning_2,100.0,True,259,153,77,76,105,0,1,0.195523556208389,-0.0012687547334966354,0.35294117647058826,29.915104099883514,-2.8651138281221566,0.0977617781041945,0.2275340626774185,0.16309185886476704,65.27539869281046,307.115,59.55806535947711,239.66300000000007
20260826_144545,evening_1,100.0,True,226,150,66,84,76,0,0,0.10219743021674758,-0.001282799253488065,0.31333333333333335,15.329614532512137,-16.288655635563476,0.05109871510837379,-0.0961707892051707,0.2580581740482549,43.34576,192.52089999999987,31.943139999999996,117.478
20260826_151328,late_afternoon_1,100.0,True,246,153,71,82,93,0,0,0.22419630343261351,-0.001284317443506211,0.3333333333333333,34.302034425189866,-1.515499935565991,0.11209815171630676,0.3093048637638383,0.1505047450970408,33.39249673202614,143.36020000000002,41.12983660130719,163.49540000000005
20260824_135129,afternoon_1,250.0,True,278,180,99,81,97,1,0,0.20282982407319552,-0.0012720293351975442,0.45555555555555555,36.509368333175196,-15.173833659594127,0.10141491203659776,0.2737579217780155,0.1161399268784156,15.937294444444444,60.842349999999996,19.440305555555558,75.31714999999981
20260825_084855,morning_1,250.0,True,190,112,57,55,78,0,0,0.1434430551444456,-0.0012513632036137423,0.25,16.065622176177907,-1.2044676356570694,0.0717215275722228,0.11469862903149339,0.1732327331160506,58.85288392857142,181.92039999999997,66.46648214285715,200.4810999999998
20260826_085550,morning_2,250.0,True,259,153,77,76,105,0,1,0.19489694146976633,-0.0012687367034747155,0.35294117647058826,29.819232044874248,-3.1905462117920447,0.09744847073488316,0.2384542337877069,0.15076652688448441,57.367516339869276,235.6528000000003,54.66737254901961,200.49880000000016
20260826_144545,evening_1,250.0,True,226,150,66,84,76,0,0,0.06466925837114168,-0.001282799253488065,0.32,9.700388755671252,-16.21058816368759,0.03233462918557084,-0.08134380441713195,0.17939380770478525,38.972526666666674,141.97614999999956,35.18849333333333,132.76349999999965
20260826_151328,late_afternoon_1,250.0,True,246,153,71,82,93,0,0,0.23577247307339938,-0.0012842905572352237,0.3660130718954248,36.07318838023011,-2.0167095061152125,0.11788623653669969,0.31568656410163903,0.16657856498797227,37.224555555555554,144.43580000000003,48.34660784313726,169.9456000000001
20260824_135129,afternoon_1,500.0,True,278,180,99,81,97,1,0,0.1274388834666746,-0.0012721502046231237,0.4444444444444444,22.938999024001426,-16.530282334648035,0.0637194417333373,0.21883009895195532,0.015738508984664803,21.62201111111111,93.4783999999998,21.710533333333338,91.07639999999996
20260825_084855,morning_1,500.0,True,190,112,57,55,78,0,0,0.12362615482850091,-0.001251273717972623,0.25892857142857145,13.846129340792102,-2.000707224346643,0.061813077414250454,0.15596229074356738,0.09011415942561385,43.10028571428571,153.05444999999995,63.326839285714286,194.0037499999999
20260826_085550,morning_2,500.0,True,259,152,77,75,106,0,1,0.18322795096537295,-0.0012687367034747155,0.34868421052631576,27.85064854673669,-3.2108849180800814,0.09161397548268647,0.2515984477428054,0.11303424094054233,59.84036842105264,234.48734999999988,61.69240131578947,233.705149999999
20260826_144545,evening_1,500.0,True,226,150,66,84,76,0,0,0.05403796634525134,-0.0012828787393504015,0.2733333333333333,8.1056949517877,-14.60388012949232,0.02701898317262567,0.03530236822718748,0.0687587934380158,44.80914666666667,168.91374999999996,40.766333333333336,190.7749499999995
20260826_151328,late_afternoon_1,500.0,True,246,152,70,82,94,0,0,0.20365557272035062,-0.0012844967656189255,0.3026315789473684,30.955647053493294,-2.2575614823616625,0.10182778636017531,0.21064632453961427,0.19768785775268657,45.14666447368421,213.16199999999998,53.78392763157895,192.87114999999997
20260824_135129,afternoon_1,1000.0,True,278,139,77,62,138,1,0,-0.08218511067629347,-0.0012723941356096446,0.38848920863309355,-11.423730384004793,-20.104929627982045,-0.041092555338146736,-0.06266580576098102,-0.10642682807111702,13.867676258992805,60.574099999999966,18.74129496402878,58.5476
20260825_084855,morning_1,1000.0,True,190,91,47,44,99,0,0,0.13467833323104877,-0.0012512512503892737,0.2967032967032967,12.255728324025439,-1.3446303514319524,0.06733916661552439,0.12175168552660802,0.14848634327897414,60.71553846153846,294.15999999999997,79.609010989011,348.4665
20260826_085550,morning_2,1000.0,True,260,111,56,55,148,1,0,0.18062106609433365,-0.0012687779127329435,0.2972972972972973,20.048938336471036,-0.8243457242063101,0.09031053304716682,0.22899137764957017,0.1313712943290019,54.86472072072072,179.86599999999999,70.03981981981983,266.67150000000004
20260826_144545,evening_1,1000.0,True,226,118,51,67,108,0,0,0.15228333753862489,-0.0012828211393145494,0.2627118644067797,17.969433829557737,-3.6439679066013753,0.07614166876931244,0.1869258910797689,0.12591363260432123,31.19245762711865,135.21614999999986,37.1837118644068,145.2504499999996
20260826_151328,late_afternoon_1,1000.0,True,246,117,59,58,129,0,0,0.1445327887293778,-0.001284735059448039,0.24786324786324787,16.9103362813372,-3.715344709915863,0.0722663943646889,0.14618055024057955,0.14285661753694842,31.947188034188034,129.28919999999982,39.707854700854696,169.9289999999999
